ID,Type,Title,Abstract,Primary Author,Link,Primary Affiliation,CoAuthors,year
799,Contributed Poster,A Design and Evaluation Study for Teaching Science Safely in South Dakota,"The National Science Teachers Association guidelines for preparing science teachers emphasize competent science safety knowledge. Best Practice dictates increasing the amount of student-centered hands-on science instruction which also increases the possibility of accident, especially in the classrooms of uninformed or untrained teachers. Phase I of this study sampled the science practice and classroom safety knowledge of a cross-section of K-12 science teachers in South Dakota to ascertain if teachers are aware of and trained in safe science practice. Are the teachers who have been trained in science safety practicing those procedures when they teach science? This study's data show that this may not be the case. Subsequent to this study, an analysis of the results from the safety survey will inform the design of a safety training certificate program for pre- and in-service teachers in South Dakota with the intent that teachers, once informed will practice science more safely.",Cathy Mariotti Ezrailson,http://www.per-central.org/perc/2008/detail.cfm?ID=799,University of South Dakota,"Rachel Kludt - Undergraduate Researcher (Rachel.Kludt@usd.edu)
Phillip Millard - U-Discover Scholar (Phillip.Millard@usd.edu)",2008
813,Contributed Poster,A Study of Peer Instruction Methods with High School Physics Students,"This paper reports on the results of an experiment to test the use of a Peer Instruction (PI) in a high school environment. The study reports findings based on a population of 213 high school students attending algebra-based physics courses, both Honors and A level, taught by 5 different instructors. The results show a correlation between use of Peer Instruction and improved student conceptual understanding, as demonstrated by gains on a pre/post assessment instrument (FCI). However, there also appears to be a number of other factors that strongly influence the resulting gains. In addition to instructor differences, the data seem to indicate that students who are more physics-inclined and can answer questions correctly prior to instruction and prior to any Peer Instruction discussion subsequently achieve higher gains as measured by the FCI. While this is to be expected, the use of normalized gains is intended to mitigate this result, but it appears to be prevalent nonetheless. This raises questions as to what degree the FCI gains can be attributed to the use of Peer Instruction, to teacher differences, to student ability level or to simply increased familiarity with the question types presented on the FCI.",Karen Cummings,http://www.per-central.org/perc/2008/detail.cfm?ID=813,Southern Connecticut State University,"Stephen G. Robert, Staples High School",2008
714,Contributed Poster,A Taxonomy of Introductory Physics Problems (TIPP),"The existing collection of physics problems (both traditional and research-based) is becoming larger and more diverse.  In order to be efficiently used in classroom settings a classification of these problems is needed.  In the past few years we created a categorization of physics problems that establishes a connection between the physics problems, the type of declarative and procedural knowledge they involve and the cognitive processes they develop in students. This taxonomy is intended to be a valuable instructional resource for physics instructors which will enable them to select the problems used in their curricular materials based on the specifics of their students populations and the learning objectives they want to achieve for their class. This taxonomy will also provide a framework for creating physics-related assessments with a cognitive component. We will report on the design and validity and reliability studies that have been carried out during the development of this classification tool.",Raluca E. Teodorescu,http://www.per-central.org/perc/2008/detail.cfm?ID=714,"George Washington University, Department of Physics, Corcoran Hall","Cornelius Bennhold
George Washington University

Gerald Feldman
George Washington University",2008
788,Contributed Poster,All Roads Lead to Palinscar and Brown,"The poster will present two frameworks from Palinscar and Brown[1] that strikingly encompass decades of research on worked examples. First, their framework of beneficial learning behaviors from the reading comprehension literature will be aligned with the observed learning behaviors from the worked example literature. Second, their four propositions guiding the design of their training scheme will be used to categorize attempts to modify the design and implementation of worked examples.

[1]  Palinscar, A. S. & Brown, A. L. (1984). Reciprocal Teaching of Comprehension-Fostering and Comprehension-Monitoring Activities. Cognition and Instruction, 1(2), 117-175.",Evan Richards,http://www.per-central.org/perc/2008/detail.cfm?ID=788,North Carolina State University,"Dr. Ruth Chabay
North Carolina State University
rwchabay@ncsu.edu",2008
805,Contributed Poster,An Investigation of Student Ability to Connect Particulate and Macroscopic Representations of a Gas,"This interdisciplinary project assessed the extent to which students in general education courses across two departments understood the assumptions of small-particle models and the ways in which these models relate to measurable properties. Many general education courses are surveys of a wide body of material, but spend relatively little time on fundamental issues such as the particulate nature of matter. Students are increasingly exposed to small particle models through animations on websites and visualizations in science textbooks, however relatively little time is spent on the interpretation and use of these models. The implicit assumption is that students have little difficulty with an idea as basic as the particulate nature of matter and are able to use small-particle models to explain the behavior of the observable, macroscopic world. As part of this project, we embedded conceptually-oriented questions on written assessments in general education courses in physics and chemistry. Questions were drawn from the published literature in chemical and physics education and developed by the research team. The results of this project provide a baseline measurement of the extent to which a diverse population of students in introductory physical science courses was able to develop and use particulate models to reason about macroscopic observables.",Kereen Monteyne,http://www.per-central.org/perc/2008/detail.cfm?ID=805,California State University Fullerton,"Barbara L. Gonzalez, Department of Chemistry and Biochemistry, California State University Fullerton;

Michael E. Loverude, Department of Physics, California State University Fullerton",2008
783,Contributed Poster,An Investigation of the Concept of Vectors with College Students in Mexico,"It has been reported that students lack conceptual understanding of vectors and consequently have difficulties performing basic operations needed in the physics curriculum. We report results of a study of conceptual understanding of vectors among college students in their first physics course in a large private university in Mexico. Students in this institution have conceptual difficulties similar to those of American students, such as identifying magnitude and direction of a vector and performing vector addition. Furthermore, Mexican students have difficulties with the multiplication of a vector by a scalar and more advanced addition/subtraction operations using that product operation even after instruction in which vectors were part of the course curriculum. This report includes a discussion of implications for instruction, preliminary results of the development of a worksheet as instructional strategy and the diagnostic test used in the study.",Genaro Zavala,http://www.per-central.org/perc/2008/detail.cfm?ID=783,"Tecnologico de Monterrey, Campus Monterrey","Christian A. Moran, Tecnologico de Monterrey, Campus Monterrey",2008
717,Contributed Poster,Analysis of Learning Assistants Views of Teaching and Learning,"For several years the University of Colorado has been using undergraduate Learning Assistants (LAs) in their introductory science and math courses.  While the LAs have teaching duties very similar to graduate Teaching Assistants (TAs), first year LAs are also required to take an education course focused on teaching methods. The purpose of this course is to first help LAs improve their teaching in the university classrooms and to encourage some of the LAs to consider careers as K-12 science teachers.  Throughout the semester LAs are asked to reflect on their learning about teaching and on the applications of these concepts to their current teaching experience.  This poster will present an analysis of this learning experience from the perspective of the LAs.  The poster will also present how LAs evolve as teachers and as learners throughout this experience.",Kara E. Gray,http://www.per-central.org/perc/2008/detail.cfm?ID=717,"School of Education, University of Colorado","Valerie K. Otero
School of Education, University of Colorado
249 UCB
Boulder, CO 80309
valerie.otero@colorado.edu",2008
751,Contributed Poster,Applying Successful Techniques to Transform Physics and Astronomy in Urban Classrooms*,"The physics program at Chicago State University (CSU) has adopted an instructional environment that embraces inquiry-based instruction, research on student learning, and instructional revision. Based upon successes in our introductory physics courses, we have expanded our program to include the introductory astronomy and modern physics courses at CSU and the introductory physics sequence at Olive Harvey College, a nearby urban community college. In this poster we describe our implementation, preliminary research on the effectiveness of our materials, and the successes and challenges we face as our project expands to different instructional environments.

*Supported in part by NSF grant #DUE 0632563",Sean Gallardo,http://www.per-central.org/perc/2008/detail.cfm?ID=751,Chicago State University,"Kim Coble
Mel S. Sabella",2008
803,Contributed Poster,Archiving Student Solutions with Tablet PCs in a Discussion-Based Introductory Physics Class,"Many active learning based physics courses use whiteboards as a space for groups to respond to prompts based on short lab activities, problem solving, or inquiry-oriented activities. Whiteboards are volatile; once erased, the material is lost. Tablet PCs and software such as Ubiquitous Presenter can be used as digital whiteboards in active learning classes. This enables automatic capture and archiving of student work for online review by students, instructors, and researchers. We studied the use of digital whiteboards in an active-learning introductory physics course at California State University, San Marcos. In this poster we examine the archival features of digital whiteboards, and characterize the use of these features by students and researchers.",Edward Price,http://www.per-central.org/perc/2008/detail.cfm?ID=803,"Dept of Physics, California State University San Marcos","Charles De Leone (cdeleone@csusm.edu), Dept of Physics, California State University San Marcos;

Robin Marion (rmarion@csusm.edu), College of Education, California State University San Marcos;

John Saunders, Dept of Physics, California State University San Marcos",2008
746,Contributed Poster,Assessing Knowledge in a Graduate Course on PER,"The University of Maine Master of Science in Teaching program includes a pair of graduate courses entitled Integrated Approaches in Physics Education.  The courses integrate understanding of different elements of physics education research (PER), including research into student learning, content knowledge (CK) from the perspective of how it is learned, and reform-based curricula together with published evidence of their effectiveness.  Course elements include equal parts studying physics through proven curricula and discussion of research results from PER literature.  As part of our course development, we are researching course participants understanding of content, pedagogy, and education research.  We are also exploring assessment methods to analyze graduate student pedagogical content knowledge (PCK).  Early findings indicate that the courses improve both CK and PCK.  However, the improvement in these two arenas seems to be dependent on the background physics content knowledge of the student.

Supported in part by the Maine Economic Improvement Fund and the Maine Academic Prominence Initiative.",John R. Thompson,http://www.per-central.org/perc/2008/detail.cfm?ID=746,University of Maine,"Warren M. Christensen
University of Maine, Center for Science and Mathematics Education Research
warren.christensen@umit.maine.edu

Michael C. Wittmann, University of Maine
University of Maine
wittmann@umit.maine.edu",2008
765,Contributed Poster,Assessing Pre-Service Teachers Using an Interview Protocol Based on C-LASS,"We report results from an interview study of prospective pre-service teachers serving as undergraduate Learning Assistants (LAs) in Florida International Universitys Physics Teacher Education Coalition (PhysTEC) Project. The goal of the study is to investigate both characteristics of students drawn to the PhysTEC program and how they changed as a result of their first early field experience. Their early field experience included assisting in reformed physics classrooms and laboratories. Seven students were interviewed prior to and after their field experiences, using a protocol based on the Colorado Learning Attitudes about Science Survey (C-LASS) instrument. Students completed the C-LASS and then were asked to explain their responses in interview sessions. Students were also asked about their background and experiences in physics courses. Results of the interview study and measured impact on course reform will be presented.",Idaykis Rodriguez,http://www.per-central.org/perc/2008/detail.cfm?ID=765,Florida International University,"Eric Brewe
   Florida International University
   11200 SW 8th Street, ZEB 259A
   Miami, FL 33199
   phone: 305-248-3507

Larid Kramer
  Florida International University
  11200 SW 8th Street, CP 204
  Miami, FL 33199
  phone: 305-348-6073

George O'Brien
  Florida International University
  11200 SW 8th Street,  ZEB 255B
  Miami FL 33199
  phone: 305-348-2599

Leanne Wells
  Florida International University
  11200 SW 8th Street, ZEB 357A
  Miami, FL 33199
  phone: 305-348-3228",2008
